symbol,session_date,direction,opening_high,opening_low,last_sweep_time,signal_time,signal_close,fvg_size,stop,target,intended_quantity,actual_quantity,entry_time,entry_price,exit_time,exit_price,exit_reason,gross_pnl,commission,slippage_cost,net_pnl,intended_R,realized_R,intended_risk,realized_risk,risk_percent_intended,risk_percent_realized,quantity_rejection_reason,hypothesis_id,scenario,equity_before,equity_after,fvg_size_ticks,atr_14,fvg_size_normalized_by_atr,bars_since_last_sweep,confirmation_offset_bars,sweep_depth_ticks,stop_distance,minutes_between_last_touch_and_confirmation,year,entry_hour
QQQ,2022-01-05,short,395.37,392.36,2022-01-05T15:00:00+00:00,2022-01-05T15:15:00+00:00,394.04,0.009999999999990905,394.86,392.40000000000003,2,2,2022-01-05T15:20:00+00:00,394.02000000000004,2022-01-05T15:25:00+00:00,394.88,STOP_LOSS,-1.7199999999999136,0.31556000000000006,0.07999999999992724,-2.0355599999999137,-1.0487804878048341,-1.2411951219511772,5.0,1.6399999999999864,0.005,0.0016399999999999863,,HYP-FCR-03,stress,1000.0,997.9644400000001,0.9999999999990905,1.275169999999997,0.007842091642675823,3,3,51.99999999999818,0.8199999999999932,15.0,2022,10
SPY,2022-01-05,short,477.66,476.13,2022-01-05T15:30:00+00:00,2022-01-05T15:35:00+00:00,477.16,0.08999999999997499,477.75,475.9800000000001,2,2,2022-01-05T15:40:00+00:00,477.14000000000004,2022-01-05T17:49:00+00:00,476.00000000000006,TAKE_PROFIT,2.2799999999999727,0.38125600000000004,0.07999999999992724,1.8987439999999727,1.9322033898305673,1.6091050847458077,5.0,1.17999999999995,0.005,0.00117999999999995,,HYP-FCR-03,stress,1000.0,1001.898744,8.999999999997499,0.6519857142857249,0.13803983435215816,1,1,6.999999999999318,0.589999999999975,5.0,2022,10
QQQ,2022-01-06,long,386.26,381.94,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,385.31,0.4000000000000341,382.18,391.57,1,1,2022-01-06T15:35:00+00:00,385.32,2022-01-06T20:59:00+00:00,384.01,FORCED_SESSION_CLOSE,-1.3100000000000023,0.153866,0.029999999999972715,-1.4638660000000023,-0.418530351437701,-0.46768881789137523,4.989822200000001,3.1299999999999955,0.005,0.003136384298422492,,HYP-FCR-03,stress,997.9644400000001,996.500574,40.00000000000341,1.801538461538467,0.22203245089668777,2,2,14.999999999997726,3.1299999999999955,10.0,2022,10
SPY,2022-01-06,long,470.395,466.81,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,468.785,0.11459999999999582,466.44,473.4750000000001,2,2,2022-01-06T15:35:00+00:00,468.81,2022-01-06T20:59:00+00:00,467.91,FORCED_SESSION_CLOSE,-1.7999999999999545,0.374688,0.08999999999991815,-2.1746879999999544,-0.38379530916842935,-0.4636861407249316,5.00949372,4.690000000000055,0.005,0.004681111767118908,,HYP-FCR-03,stress,1001.898744,999.724056,11.459999999999582,1.2711846153846147,0.09015212944920828,2,2,44.99999999999886,2.3450000000000273,10.0,2022,10
QQQ,2022-01-07,long,385.76,381.1,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,381.96,0.3199999999999932,380.26,385.35999999999996,2,2,2022-01-07T16:55:00+00:00,381.97999999999996,2022-01-07T17:21:00+00:00,380.24,STOP_LOSS,-3.4799999999999045,0.30488800000000005,0.07999999999992724,-3.7848879999999046,-1.0235294117646847,-1.1132023529411559,4.98250287,3.3999999999999773,0.005,0.0034119398309548563,,HYP-FCR-03,stress,996.500574,992.7156860000001,31.999999999999318,1.0049928571428464,0.31841022324252144,1,1,95.00000000000455,1.6999999999999886,5.0,2022,11
SPY,2022-01-07,long,469.2,466.73,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,468.025,0.5683999999999969,466.42,471.2349999999999,2,2,2022-01-07T16:55:00+00:00,468.03999999999996,2022-01-07T19:23:00+00:00,466.40000000000003,STOP_LOSS,-3.279999999999859,0.37377600000000005,0.06999999999993634,-3.653775999999859,-1.0218068535825353,-1.1382479750778651,4.99862028,3.2099999999999227,0.005,0.0032108860247331314,,HYP-FCR-03,stress,999.724056,996.0702800000001,56.83999999999969,0.7352928571428582,0.7730253251862664,1,1,25.99999999999909,1.6049999999999613,5.0,2022,11
QQQ,2022-01-10,long,375.71,371.47,2022-01-10T16:10:00+00:00,2022-01-10T16:15:00+00:00,372.62,0.21299999999996544,370.61,376.64,2,2,2022-01-10T16:20:00+00:00,372.59999999999997,2022-01-10T17:33:00+00:00,370.59000000000003,STOP_LOSS,-4.019999999999868,0.29727600000000004,0.08000000000004093,-4.317275999999868,-0.9999999999999717,-1.0739492537313153,4.963578430000001,4.019999999999982,0.005,0.004049497813616678,,HYP-FCR-03,stress,992.7156860000001,988.3984100000002,21.299999999996544,0.9975857142857153,0.21351548739095194,1,1,48.00000000000182,2.009999999999991,5.0,2022,11
SPY,2022-01-10,long,463.02,459.01,2022-01-10T16:15:00+00:00,2022-01-10T16:20:00+00:00,459.8,0.060000000000002274,458.44,462.52000000000004,2,2,2022-01-10T16:25:00+00:00,459.82,2022-01-10T16:43:00+00:00,458.42,STOP_LOSS,-2.7999999999999545,0.367296,0.07999999999992724,-3.1672959999999546,-1.0294117647058554,-1.164447058823501,4.980351400000001,2.7200000000000273,0.005,0.002730731008257798,,HYP-FCR-03,stress,996.0702800000001,992.9029840000002,6.000000000000227,0.8690071428571409,0.06904431165287428,1,1,45.999999999997954,1.3600000000000136,5.0,2022,11
QQQ,2022-01-11,short,380.0598,377.2182,2022-01-11T15:30:00+00:00,2022-01-11T15:35:00+00:00,379.26,0.29000000000002046,380.39,377.0,2,2,2022-01-11T15:40:00+00:00,379.25,2022-01-11T16:03:00+00:00,380.40999999999997,STOP_LOSS,-2.3199999999999363,0.303864,0.05999999999994543,-2.6238639999999362,-1.0265486725663477,-1.161001769911481,4.941992050000001,2.259999999999991,0.005,0.0022865273528717943,,HYP-FCR-03,stress,988.3984100000002,985.7745460000003,29.000000000002046,1.4701142857142844,0.19726357523226037,1,1,136.02000000000203,1.1299999999999955,5.0,2022,10
SPY,2022-01-12,short,472.68,470.89,2022-01-12T15:25:00+00:00,2022-01-12T15:30:00+00:00,471.89,0.040000000000020464,472.9,469.87,2,2,2022-01-12T15:35:00+00:00,471.88,2022-01-12T16:06:00+00:00,469.89,TAKE_PROFIT,3.980000000000018,0.376708,0.05999999999994543,3.6032920000000184,1.9702970297029971,1.7838079207921043,4.964514920000001,2.019999999999982,0.005,0.0020344384421751133,,HYP-FCR-03,stress,992.9029840000002,996.5062760000002,4.000000000002046,0.8139923076923048,0.04914051351839158,1,1,4.000000000002046,1.009999999999991,5.0,2022,10
