scenario,entry_hour,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,10,472,0.014237133025456039,0.09374605262920209,1.1596959475075366,112.56852318001347,0.04258009565903657,0.3983050847457627,1.6114080321446038,-1.0430450114618675,-1.0414682334190921,15,59717.0,0.005,0.0025221557727101458,0,9.40677966101695,27.65546610169473,0.30962471127827423,142,257,73
baseline,11,283,-0.223735105183145,-0.11930181000337695,0.7403043230446823,-108.96785330999037,0.0654997445071569,0.31448763250883394,1.650011823192544,-1.0833406547987963,-1.0712314049586211,11,25818.0,0.005,0.0020664799596976217,0,11.024734982332156,27.317455830388592,0.37801488372861614,72,183,28
baseline,12,113,-0.2661394138938677,-0.1481119480311925,0.7677762118311076,-36.25103117999542,0.02851031044159994,0.3274336283185841,1.4895436901513157,-1.1208798724421807,-1.0722187499999811,17,9542.0,0.004999999999999999,0.0019503406843632465,0,12.389380530973451,26.302123893805376,0.4515640891311549,26,73,14
baseline,13,81,-0.00203394868467124,0.11107767861529927,0.9521767778866306,-4.515792189996294,0.01435081823504195,0.41975308641975306,1.4767715719570977,-1.0718081551063767,-1.0224470588235108,8,5617.0,0.004999999999999999,0.00190072588015466,0,9.25925925925926,31.325802469136356,0.5721167267678474,23,41,17
baseline,14,47,-0.2995102685676203,-0.17844465599134998,0.6186220989949522,-21.889716329998656,0.01148325827153489,0.3404255319148936,1.2202227249078685,-1.083888587780776,-1.0775576271186282,6,2255.0,0.005000000000000001,0.0017598908099796368,0,6.0638297872340425,32.2308510638297,0.5673802946360677,8,27,12
baseline,15,29,-0.13101945496264883,-0.005815560040013455,0.6241429165186285,-11.320192329998358,0.009294101278644511,0.41379310344827586,0.9418301983878221,-0.8883250926218049,-0.18106135986718222,5,514.0,0.005000000000000001,0.001807987337656943,0,12.068965517241379,25.973793103448653,0.497590554834604,2,12,15
severe,10,472,-0.1820961624209885,0.0564305963902496,0.9106619291635649,-66.25172628995755,0.07537876376645045,0.3961864406779661,1.4304145486012234,-1.2401295061443343,-1.1302303102069522,15,59717.0,0.005,0.002507920316820404,0,9.40677966101695,27.65546610169473,0.30962471127827423,142,257,73
severe,11,283,-0.4816507717553723,-0.1683508862160682,0.5791139864607934,-187.66495228997326,0.09870262409123212,0.31095406360424027,1.3935536617204525,-1.3278968750675393,-1.2130283687943262,16,25818.0,0.005,0.0020541659183984074,0,11.024734982332156,27.317455830388592,0.37801488372861614,72,183,28
severe,12,113,-0.5578658285138964,-0.203783430925871,0.5646751074543874,-73.78056119998844,0.04172667558480802,0.30973451327433627,1.2708095116388927,-1.378425276018353,-1.2123921052630866,17,9542.0,0.004999999999999999,0.0019235142772744517,0,12.389380530973451,26.302123893805376,0.4515640891311549,26,73,14
severe,13,81,-0.28469619102168625,0.05463869087822524,0.7290527887371699,-27.04939132999108,0.018713696732512972,0.41975308641975306,1.2197370051239929,-1.3730095669568583,-1.0804130718953944,8,5617.0,0.004999999999999999,0.0018592893712815867,0,9.25925925925926,31.325802469136356,0.5721167267678474,23,41,17
