symbol,session_date,direction,opening_high,opening_low,last_sweep_time,signal_time,signal_close,fvg_size,stop,target,intended_quantity,actual_quantity,entry_time,entry_price,exit_time,exit_price,exit_reason,gross_pnl,commission,slippage_cost,net_pnl,intended_R,realized_R,intended_risk,realized_risk,risk_percent_intended,risk_percent_realized,quantity_rejection_reason,hypothesis_id,scenario,equity_before,equity_after,fvg_size_ticks,atr_14,fvg_size_normalized_by_atr,bars_since_last_sweep,confirmation_offset_bars,sweep_depth_ticks,stop_distance,minutes_between_last_touch_and_confirmation,original_body_stop,structural_stop_distance_from_original,structural_segment_bars,year,entry_hour
QQQ,2022-01-05,short,395.37,392.36,2022-01-05T15:00:00+00:00,2022-01-05T15:15:00+00:00,394.04,0.009999999999990905,395.9,390.3200000000001,2,2,2022-01-05T15:20:00+00:00,394.03000000000003,2022-01-05T19:05:00+00:00,390.3300000000001,TAKE_PROFIT,7.399999999999864,0.15687200000000004,0.03999999999996362,7.243127999999864,1.9892473118279665,1.9470774193548472,5.0,3.7199999999999136,0.005,0.0037199999999999135,,HYP-FCR-04,baseline,1000.0,1007.2431279999998,0.9999999999990905,1.275169999999997,0.007842091642675823,3,3,51.99999999999818,1.8599999999999568,15.0,394.86,1.0399999999999636,4,2022,10
SPY,2022-01-05,short,477.66,476.13,2022-01-05T15:30:00+00:00,2022-01-05T15:35:00+00:00,477.16,0.08999999999997499,477.74,476.00000000000006,2,2,2022-01-05T15:40:00+00:00,477.15000000000003,2022-01-05T17:49:00+00:00,476.01000000000005,TAKE_PROFIT,2.2799999999999727,0.19063200000000002,0.03999999999996362,2.089367999999973,1.9655172413793407,1.8011793103448535,5.0,1.1599999999999682,0.005,0.0011599999999999681,,HYP-FCR-04,baseline,1000.0,1002.0893679999999,8.999999999997499,0.6519857142857249,0.13803983435215816,1,1,6.999999999999318,0.5799999999999841,5.0,477.75,0.009999999999990905,2,2022,10
QQQ,2022-01-06,long,386.26,381.94,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,385.31,0.4000000000000341,381.78000000000003,392.36999999999995,1,1,2022-01-06T15:35:00+00:00,385.31,2022-01-06T20:59:00+00:00,384.02,FORCED_SESSION_CLOSE,-1.2900000000000205,0.076933,0.009999999999990905,-1.3669330000000204,-0.3654390934844279,-0.38723314447592944,5.036215639999999,3.5299999999999727,0.005,0.003504615620470109,,HYP-FCR-04,baseline,1007.2431279999998,1005.8761949999998,40.00000000000341,1.801538461538467,0.22203245089668777,2,2,14.999999999997726,3.5299999999999727,10.0,382.18,0.39999999999997726,3,2022,10
SPY,2022-01-06,long,470.395,466.81,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,468.785,0.11459999999999582,466.35,473.65500000000003,2,2,2022-01-06T15:35:00+00:00,468.8,2022-01-06T20:59:00+00:00,467.92,FORCED_SESSION_CLOSE,-1.759999999999991,0.187344,0.049999999999954525,-1.9473439999999909,-0.3613963039014352,-0.39986529774127083,5.010446839999999,4.8700000000000045,0.005,0.0048598459932966825,,HYP-FCR-04,baseline,1002.0893679999999,1000.1420239999999,11.459999999999582,1.2711846153846147,0.09015212944920828,2,2,44.99999999999886,2.4350000000000023,10.0,466.44,0.08999999999997499,3,2022,10
QQQ,2022-01-07,long,385.76,381.1,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,381.96,0.3199999999999932,380.14,385.59999999999997,2,2,2022-01-07T16:55:00+00:00,381.96999999999997,2022-01-07T17:37:00+00:00,380.13,STOP_LOSS,-3.67999999999995,0.15242,0.03999999999996362,-3.83241999999995,-1.010989010989001,-1.0528626373626275,5.029380975,3.6399999999999864,0.005,0.0036187356039378057,,HYP-FCR-04,baseline,1005.8761949999998,1002.0437749999999,31.999999999999318,1.0049928571428464,0.31841022324252144,1,1,95.00000000000455,1.8199999999999932,5.0,380.26,0.12000000000000455,2,2022,11
SPY,2022-01-07,long,469.2,466.73,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,468.025,0.5683999999999969,466.46000000000004,471.15499999999986,2,2,2022-01-07T16:55:00+00:00,468.03,2022-01-07T19:23:00+00:00,466.45000000000005,STOP_LOSS,-3.1599999999998545,0.186896,0.029999999999972715,-3.3468959999998544,-1.0095846645367328,-1.0692958466453613,5.00071012,3.1299999999998818,0.005,0.003129555528005573,,HYP-FCR-04,baseline,1000.1420239999999,996.795128,56.83999999999969,0.7352928571428582,0.7730253251862664,1,1,25.99999999999909,1.5649999999999409,5.0,466.42,0.040000000000020464,2,2022,11
QQQ,2022-01-10,long,375.71,371.47,2022-01-10T16:10:00+00:00,2022-01-10T16:15:00+00:00,372.62,0.21299999999996544,370.98,375.9,2,2,2022-01-10T16:20:00+00:00,372.59,2022-01-10T17:19:00+00:00,370.97,STOP_LOSS,-3.2399999999998954,0.14871199999999998,0.08000000000004093,-3.3887119999998956,-0.9878048780487568,-1.0331439024390012,5.010218875,3.2799999999999727,0.005,0.0032733100906694153,,HYP-FCR-04,baseline,1002.0437749999999,998.6550629999999,21.299999999996544,0.9975857142857153,0.21351548739095194,1,1,48.00000000000182,1.6399999999999864,5.0,370.61,0.37000000000000455,2,2022,11
SPY,2022-01-10,long,463.02,459.01,2022-01-10T16:15:00+00:00,2022-01-10T16:20:00+00:00,459.8,0.060000000000002274,458.54,462.32,2,2,2022-01-10T16:25:00+00:00,459.81,2022-01-10T16:41:00+00:00,458.53000000000003,STOP_LOSS,-2.5599999999999454,0.18366800000000003,0.03999999999996362,-2.7436679999999454,-1.0158730158730016,-1.088757142857129,4.98397564,2.519999999999982,0.005,0.0025281022440952197,,HYP-FCR-04,baseline,996.795128,994.05146,6.000000000000227,0.8690071428571409,0.06904431165287428,1,1,45.999999999997954,1.259999999999991,5.0,458.44,0.10000000000002274,2,2022,11
QQQ,2022-01-11,short,380.0598,377.2182,2022-01-11T15:30:00+00:00,2022-01-11T15:35:00+00:00,379.26,0.29000000000002046,381.43,374.91999999999996,2,2,2022-01-11T15:40:00+00:00,379.26,2022-01-11T16:06:00+00:00,381.44,STOP_LOSS,-4.360000000000014,0.15214000000000003,0.01999999999998181,-4.512140000000014,-1.0046082949308714,-1.0396635944700416,4.993275315,4.340000000000032,0.005,0.004345844887585607,,HYP-FCR-04,baseline,998.6550629999999,994.1429229999999,29.000000000002046,1.4701142857142844,0.19726357523226037,1,1,136.02000000000203,2.170000000000016,5.0,380.39,1.0400000000000205,2,2022,10
SPY,2022-01-12,short,472.68,470.89,2022-01-12T15:25:00+00:00,2022-01-12T15:30:00+00:00,471.89,0.040000000000020464,472.73,470.2099999999999,2,2,2022-01-12T15:35:00+00:00,471.89,2022-01-12T15:42:00+00:00,470.2199999999999,TAKE_PROFIT,3.3400000000001455,0.18842199999999998,0.01999999999998181,3.1515780000001454,1.9880952380952495,1.8759392857143011,4.9702573,1.6800000000000637,0.005,0.0016900533499544013,,HYP-FCR-04,baseline,994.05146,997.2030380000002,4.000000000002046,0.8139923076923048,0.04914051351839158,1,1,4.000000000002046,0.8400000000000318,5.0,472.9,0.16999999999995907,2,2022,10
