symbol,session_date,direction,opening_high,opening_low,last_sweep_time,signal_time,signal_close,fvg_size,stop,target,intended_quantity,actual_quantity,entry_time,entry_price,exit_time,exit_price,exit_reason,gross_pnl,commission,slippage_cost,net_pnl,intended_R,realized_R,intended_risk,realized_risk,risk_percent_intended,risk_percent_realized,quantity_rejection_reason,hypothesis_id,scenario,equity_before,equity_after,fvg_size_ticks,atr_14,fvg_size_normalized_by_atr,bars_since_last_sweep,confirmation_offset_bars,sweep_depth_ticks,stop_distance,minutes_between_last_touch_and_confirmation,original_body_stop,structural_stop_distance_from_original,structural_segment_bars,year,entry_hour
QQQ,2022-01-05,short,395.37,392.36,2022-01-05T15:00:00+00:00,2022-01-05T15:15:00+00:00,394.04,0.009999999999990905,395.9,390.3200000000001,2,2,2022-01-05T15:20:00+00:00,394.01000000000005,2022-01-05T19:05:00+00:00,390.3500000000001,TAKE_PROFIT,7.319999999999936,0.47061600000000003,0.11999999999989086,6.849383999999937,1.9677419354838996,1.841232258064542,5.0,3.7199999999999136,0.005,0.0037199999999999135,,HYP-FCR-04,severe,1000.0,1006.849384,0.9999999999990905,1.275169999999997,0.007842091642675823,3,3,51.99999999999818,1.8599999999999568,15.0,394.86,1.0399999999999636,4,2022,10
SPY,2022-01-05,short,477.66,476.13,2022-01-05T15:30:00+00:00,2022-01-05T15:35:00+00:00,477.16,0.08999999999997499,477.74,476.00000000000006,2,2,2022-01-05T15:40:00+00:00,477.13000000000005,2022-01-05T17:49:00+00:00,476.03000000000003,TAKE_PROFIT,2.2000000000000455,0.571896,0.11999999999989086,1.6281040000000455,1.8965517241380223,1.4035379310345606,5.0,1.1599999999999682,0.005,0.0011599999999999681,,HYP-FCR-04,severe,1000.0,1001.628104,8.999999999997499,0.6519857142857249,0.13803983435215816,1,1,6.999999999999318,0.5799999999999841,5.0,477.75,0.009999999999990905,2,2022,10
QQQ,2022-01-06,long,386.26,381.94,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,385.31,0.4000000000000341,381.78000000000003,392.36999999999995,1,1,2022-01-06T15:35:00+00:00,385.33,2022-01-06T20:59:00+00:00,384.0,FORCED_SESSION_CLOSE,-1.329999999999984,0.23079899999999995,0.049999999999954525,-1.560798999999984,-0.37677053824362444,-0.4421526912181292,5.03424692,3.5299999999999727,0.005,0.003505986154528921,,HYP-FCR-04,severe,1006.849384,1005.288585,40.00000000000341,1.801538461538467,0.22203245089668777,2,2,14.999999999997726,3.5299999999999727,10.0,382.18,0.39999999999997726,3,2022,10
SPY,2022-01-06,long,470.395,466.81,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,468.785,0.11459999999999582,466.35,473.65500000000003,2,2,2022-01-06T15:35:00+00:00,468.82,2022-01-06T20:59:00+00:00,467.90000000000003,FORCED_SESSION_CLOSE,-1.8399999999999181,0.562032,0.12999999999988177,-2.402031999999918,-0.3778234086242128,-0.4932303901437199,5.00814052,4.8700000000000045,0.005,0.004862084021556173,,HYP-FCR-04,severe,1001.628104,999.226072,11.459999999999582,1.2711846153846147,0.09015212944920828,2,2,44.99999999999886,2.4350000000000023,10.0,466.44,0.08999999999997499,3,2022,10
QQQ,2022-01-07,long,385.76,381.1,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,381.96,0.3199999999999932,380.14,385.59999999999997,2,2,2022-01-07T16:55:00+00:00,381.98999999999995,2022-01-07T17:37:00+00:00,380.11,STOP_LOSS,-3.759999999999877,0.4572599999999999,0.11999999999989086,-4.217259999999877,-1.032967032967003,-1.1585879120878826,5.0264429250000005,3.6399999999999864,0.005,0.0036208508226520707,,HYP-FCR-04,severe,1005.288585,1001.0713250000001,31.999999999999318,1.0049928571428464,0.31841022324252144,1,1,95.00000000000455,1.8199999999999932,5.0,380.26,0.12000000000000455,2,2022,11
SPY,2022-01-07,long,469.2,466.73,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,468.025,0.5683999999999969,466.46000000000004,471.15499999999986,2,2,2022-01-07T16:55:00+00:00,468.04999999999995,2022-01-07T19:23:00+00:00,466.43000000000006,STOP_LOSS,-3.2399999999997817,0.560688,0.10999999999989996,-3.8006879999997816,-1.0351437699680204,-1.2142773162939058,4.99613036,3.1299999999998818,0.005,0.0031324242708509727,,HYP-FCR-04,severe,999.226072,995.4253840000002,56.83999999999969,0.7352928571428582,0.7730253251862664,1,1,25.99999999999909,1.5649999999999409,5.0,466.42,0.040000000000020464,2,2022,11
QQQ,2022-01-10,long,375.71,371.47,2022-01-10T16:10:00+00:00,2022-01-10T16:15:00+00:00,372.62,0.21299999999996544,370.98,375.9,2,2,2022-01-10T16:20:00+00:00,372.60999999999996,2022-01-10T17:19:00+00:00,370.95000000000005,STOP_LOSS,-3.3199999999998226,0.4461359999999999,0.08000000000004093,-3.7661359999998227,-1.0121951219511738,-1.1482121951219066,5.005356625000001,3.2799999999999727,0.005,0.0032764898145494,,HYP-FCR-04,severe,1001.0713250000001,997.3051890000003,21.299999999996544,0.9975857142857153,0.21351548739095194,1,1,48.00000000000182,1.6399999999999864,5.0,370.61,0.37000000000000455,2,2022,11
SPY,2022-01-10,long,463.02,459.01,2022-01-10T16:15:00+00:00,2022-01-10T16:20:00+00:00,459.8,0.060000000000002274,458.54,462.32,2,2,2022-01-10T16:25:00+00:00,459.83,2022-01-10T16:41:00+00:00,458.51000000000005,STOP_LOSS,-2.6399999999998727,0.5510039999999999,0.11999999999989086,-3.1910039999998725,-1.0476190476190046,-1.2662714285713872,4.977126920000002,2.519999999999982,0.005,0.0025315810109981895,,HYP-FCR-04,severe,995.4253840000002,992.2343800000003,6.000000000000227,0.8690071428571409,0.06904431165287428,1,1,45.999999999997954,1.259999999999991,5.0,458.44,0.10000000000002274,2,2022,11
QQQ,2022-01-11,short,380.0598,377.2182,2022-01-11T15:30:00+00:00,2022-01-11T15:35:00+00:00,379.26,0.29000000000002046,381.43,374.91999999999996,2,2,2022-01-11T15:40:00+00:00,379.24,2022-01-11T16:06:00+00:00,381.46,STOP_LOSS,-4.439999999999941,0.45642,0.09999999999990905,-4.8964199999999405,-1.0230414746543568,-1.1282073732718674,4.986525945000001,4.340000000000032,0.005,0.004351727082009628,,HYP-FCR-04,severe,997.3051890000003,992.4087690000003,29.000000000002046,1.4701142857142844,0.19726357523226037,1,1,136.02000000000203,2.170000000000016,5.0,380.39,1.0400000000000205,2,2022,10
SPY,2022-01-12,short,472.68,470.89,2022-01-12T15:25:00+00:00,2022-01-12T15:30:00+00:00,471.89,0.040000000000020464,472.73,470.2099999999999,2,2,2022-01-12T15:35:00+00:00,471.87,2022-01-12T15:42:00+00:00,470.2399999999999,TAKE_PROFIT,3.2600000000002183,0.5652659999999999,0.09999999999990905,2.6947340000002185,1.9404761904762469,1.6040083333334025,4.961171900000002,1.6800000000000637,0.005,0.0016931483466638832,,HYP-FCR-04,severe,992.2343800000003,994.9291140000006,4.000000000002046,0.8139923076923048,0.04914051351839158,1,1,4.000000000002046,0.8400000000000318,5.0,472.9,0.16999999999995907,2,2022,10
