event_type,horizon,symbol,orientation,year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-01,15min,QQQ,long_reversal,2022,178,178,176,178,0.00021102476522028897,0.00036066965148617847,0.0032067857390409645,0.5227272727272727,-0.00021102476522028897,-0.00036066965148617847,0.0026409675864457675,0.00214395157085967,-0.0025294343303457743,-0.0021719584809590797,-0.00026581716831180883,0.0006832774780751362,session_date,17
EVENT-01,15min,QQQ,long_reversal,2023,169,169,167,169,8.57774371182941e-05,0.00015115786927877295,0.002258090055014016,0.5449101796407185,-8.57774371182941e-05,-0.00015115786927877295,0.001696943778018649,0.0012323027630967154,-0.0017344201368556847,-0.0014525031470901117,-0.00024533027652993766,0.00041170918913672474,session_date,17
EVENT-01,15min,QQQ,long_reversal,2024,168,168,166,168,2.024482786916939e-06,0.0001875329324760866,0.0019953237830358027,0.536144578313253,-2.024482786916939e-06,-0.0001875329324760866,0.0015230367108063545,0.0012783354534916525,-0.001722237848449581,-0.0013337539539664545,-0.00033386769997086,0.0003038955520043904,session_date,17
EVENT-01,15min,SPY,long_reversal,2022,185,185,184,185,-1.3108011929186706e-05,-0.00019391877196905938,0.00256344069750063,0.4673913043478261,1.3108011929186706e-05,0.00019391877196905938,0.0019212704580925653,0.0015576873767867427,-0.0019485413927311911,-0.0016866293703005075,-0.0003791659395310833,0.0003525861238932925,session_date,17
EVENT-01,15min,SPY,long_reversal,2023,181,181,178,181,8.795283426081999e-05,0.0001562520597778727,0.0015524427639461416,0.5337078651685393,-8.795283426081999e-05,-0.0001562520597778727,0.0012325952135655784,0.0009658693147895914,-0.001229266060751387,-0.0008609801507157289,-0.00011962402966988481,0.000297755685977991,session_date,17
EVENT-01,15min,SPY,long_reversal,2024,184,184,183,184,-2.370914690652537e-05,0.00013204152706025596,0.0013320619079543535,0.5519125683060109,2.370914690652537e-05,-0.00013204152706025596,0.0009692034416534016,0.0007690764395105187,-0.0011096663955589108,-0.0007861326205730323,-0.00020756417834102975,0.00015010452623034887,session_date,17
EVENT-01,30min,QQQ,long_reversal,2022,178,178,176,178,-6.191640116296736e-05,-9.667163485926888e-05,0.004690841242774176,0.48295454545454547,6.191640116296736e-05,9.667163485926888e-05,0.00369368980489212,0.002906135199794546,-0.0035102815735445006,-0.0027502052719728387,-0.0008011549322585399,0.0006358120535740865,session_date,17
EVENT-01,30min,QQQ,long_reversal,2023,169,169,165,169,-4.991528388431508e-05,2.5801790644264244e-05,0.0029979381331189975,0.503030303030303,4.991528388431508e-05,-2.5801790644264244e-05,0.0023531451952313906,0.0017082867436948312,-0.002323425515771542,-0.001886637683537029,-0.000505349364226907,0.0004375893573697122,session_date,17
EVENT-01,30min,QQQ,long_reversal,2024,168,168,166,168,-0.00013577007391526506,1.4823575106903686e-05,0.002914343418990647,0.5,0.00013577007391526506,-1.4823575106903686e-05,0.002046907416071897,0.0016015170114318522,-0.0024034938316878185,-0.0018822613671641286,-0.0006141942830111042,0.00026590589626010176,session_date,17
EVENT-01,30min,SPY,long_reversal,2022,185,185,183,185,3.0656539959940034e-05,0.0001995609658749231,0.0036932019304905905,0.5300546448087432,-3.0656539959940034e-05,-0.0001995609658749231,0.0027104912062346177,0.002086204979477202,-0.0026330087309329683,-0.001925854597977783,-0.000530525985664868,0.000533849768123343,session_date,17
EVENT-01,30min,SPY,long_reversal,2023,181,181,177,181,-8.949518133594e-05,-7.34773587208748e-05,0.0021275615851150337,0.4689265536723164,8.949518133594e-05,7.34773587208748e-05,0.0016349483085634868,0.0012286053211321146,-0.001692688959104518,-0.001302552693674519,-0.0004614955893496211,0.000184093890356582,session_date,17
EVENT-01,30min,SPY,long_reversal,2024,184,184,182,184,-0.00018571594201107316,4.075451989271617e-05,0.0019842708155998873,0.521978021978022,0.00018571594201107316,-4.075451989271617e-05,0.001300584329034139,0.0009813375884076825,-0.0015376618666137999,-0.0011153357059591196,-0.000449355387910866,0.000102075259958622,session_date,17
EVENT-01,5min,QQQ,long_reversal,2022,178,178,177,178,-0.00012134425144504715,-0.0002024906348081501,0.002108538905693549,0.4463276836158192,0.00012134425144504715,0.0002024906348081501,0.0014848136929798289,0.001189187238342715,-0.0015938874931591006,-0.0013203613620569321,-0.00041988800926241916,0.00016756526903173257,session_date,17
EVENT-01,5min,QQQ,long_reversal,2023,169,169,169,169,3.731791469230766e-05,-9.714632665458467e-05,0.0012957071740772998,0.47928994082840237,-3.731791469230766e-05,9.714632665458467e-05,0.000988005082052644,0.000782797029702964,-0.001033863752998263,-0.0008609623994240145,-0.0001636120897802249,0.0002537042113039931,session_date,17
EVENT-01,5min,QQQ,long_reversal,2024,168,168,167,168,-3.0191203821912215e-05,0.00016945897398246146,0.0013838837151972448,0.5389221556886228,3.0191203821912215e-05,-0.00016945897398246146,0.0009382016963261203,0.0007842905130444056,-0.001052098715950687,-0.0006981034207066417,-0.00023064475539262541,0.0001665704761340003,session_date,17
EVENT-01,5min,SPY,long_reversal,2022,185,185,185,185,-5.258055858742853e-05,5.6362796045483776e-05,0.0015020624532686567,0.518918918918919,5.258055858742853e-05,-5.6362796045483776e-05,0.0010715344820222755,0.0008989640981977853,-0.0011274196924212871,-0.000857835252739747,-0.0002492447495958377,0.00018819549328792228,session_date,17
EVENT-01,5min,SPY,long_reversal,2023,181,181,179,181,-2.6771388933601573e-06,8.890963447028e-06,0.0009631453343547399,0.5027932960893855,2.6771388933601573e-06,-8.890963447028e-06,0.0007149711043577524,0.0005519779208831288,-0.0007937335126348065,-0.0006309301366206332,-0.00013841000799545935,0.0001533416078122634,session_date,17
