event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-01,15min,QQQ,long_reversal,2022,0.00021102476522028897,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,QQQ,long_reversal,2023,8.57774371182941e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,QQQ,long_reversal,2024,2.024482786916939e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,SPY,long_reversal,2022,-1.3108011929186706e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,SPY,long_reversal,2023,8.795283426081999e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,SPY,long_reversal,2024,-2.370914690652537e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,QQQ,long_reversal,2022,-6.191640116296736e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,QQQ,long_reversal,2023,-4.991528388431508e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,QQQ,long_reversal,2024,-0.00013577007391526506,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,SPY,long_reversal,2022,3.0656539959940034e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,SPY,long_reversal,2023,-8.949518133594e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,SPY,long_reversal,2024,-0.00018571594201107316,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,QQQ,long_reversal,2022,-0.00012134425144504715,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,QQQ,long_reversal,2023,3.731791469230766e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,QQQ,long_reversal,2024,-3.0191203821912215e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,SPY,long_reversal,2022,-5.258055858742853e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,SPY,long_reversal,2023,-2.6771388933601573e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,SPY,long_reversal,2024,1.058697909959873e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
