event_type,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-01,5325,5325,5263,574,-4.864950653208575e-05,4.6465162744091515e-05,0.004943623892028727,0.5086452593577807,4.864950653208575e-05,-4.6465162744091515e-05,0.002817551134791845,0.0015283947079332005,-0.002940809426469541,-0.0016954150081084363,-0.00033208895326913883,0.0001717961204971296,session_date,17
EVENT-02,5315,5315,5253,573,-4.6004358060916395e-05,4.6525693814469804e-05,0.004950130478598396,0.5086617171140301,4.6004358060916395e-05,-4.6525693814469804e-05,0.002820512311751289,0.0015283947079332005,-0.002941768700261866,-0.0017030219581130046,-0.0003316274669372951,0.0001915292192624836,session_date,17
EVENT-03,5535,5535,5438,598,-0.0001511930367386909,-0.00014359464588997728,0.0047515426779731465,0.4650606840750276,0.0001511930367386909,0.00014359464588997728,0.0027414034403520195,0.0014294196556197125,0.0026147906513000053,0.0014266627414569744,-0.0003969171292031126,0.00011652642695731297,session_date,17
EVENT-04,5520,5520,5422,596,-0.00016043773733505164,-0.00014892582887948702,0.004750628342069544,0.4629288085577278,0.00016043773733505164,0.00014892582887948702,0.0027335935327788947,0.0014212096798208451,0.002621099175245329,0.0014325440626450914,-0.0003925999344300158,9.248624087413155e-05,session_date,17
EVENT-05,3240,3240,3146,414,0.00017196534918045343,0.00012547184187972071,0.004236174485619525,0.5336935791481247,-0.00017196534918045343,-0.00012547184187972071,0.002457748079731832,0.0012975406851573057,-0.0023565078662537375,-0.0012415345608030037,-6.56268253993352e-05,0.0004380680834036077,session_date,17
EVENT-06,3190,3190,3119,408,-7.250160716132786e-05,-0.00014577286331074468,0.004126129282970708,0.46585444052580954,7.250160716132786e-05,0.00014577286331074468,0.0025420567108005395,0.0014723754323642257,0.0022856348138634236,0.001227577913618605,-0.00033604887565144315,0.00015570577227413078,session_date,17
EVENT-07,5060,5060,4989,552,-0.00040942540390969567,-0.00018127253318300784,0.004811043282093451,0.45941070354780517,0.00040942540390969567,0.00018127253318300784,0.002518188772571016,0.0013201193847096615,-0.003124054210428113,-0.0018702393906420145,-0.0006609068103053662,-0.00016600539688183753,session_date,17
EVENT-08,5345,5345,5244,583,-0.00043245286915172314,-0.00030550498478276733,0.004618506023128561,0.4233409610983982,0.00043245286915172314,0.00030550498478276733,0.0024442132487359426,0.0012267193604071913,0.00272870651219562,0.0015671718733889506,-0.0006771399511268307,-0.00018289129009542072,session_date,17
EVENT-09,2030,2030,2022,291,0.00022249899449477604,0.0001756062221170973,0.0046643348815995685,0.5450049455984174,-0.00022249899449477604,-0.0001756062221170973,0.002690641042270174,0.0014876441003397467,-0.0026630710404899373,-0.0013531137325519804,-0.00011940928052960425,0.0005837861983361103,session_date,17
EVENT-10,1930,1930,1916,280,6.898785299844826e-05,0.0,0.004985056989431011,0.49739039665970775,-6.898785299844826e-05,0.0,0.0028961521965503987,0.001502911891790415,0.002593908373983575,0.001401666758045761,-0.0003303920746022392,0.0004218774182101072,session_date,17
