event_type,orientation,horizon,symbol,years_available,count,path_row_count,available_count,session_count,mean,median,bootstrap_lower,bootstrap_upper,favorable_percentage,economic_threshold,economic_threshold_pass,same_sign_in_QQQ_and_SPY,sign_consistent_in_at_least_two_of_three_years,annual_concentration,annual_concentration_pass,coherence_with_nearby_horizons,bootstrap_ci_excludes_zero,bootstrap_two_sided_p,bh_q_value,multiple_comparisons_pass,classification_individual
EVENT-01,long_reversal,15min,QQQ,"2022,2023,2024",515,515,509,515,0.00010177063815354015,0.0001989009746148,-0.00010347024632890611,0.0003376583077884337,0.5343811394891945,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,False,False,0.284,0.6454545454545454,False,weak_unstable_effect
EVENT-01,long_reversal,15min,SPY,"2022,2023,2024",550,550,545,550,1.6339369577176507e-05,0.0001121252214473,-0.0001439368354592482,0.00018395101907767655,0.5174311926605505,not_applicable_non_strategy_no_pnl,not_applicable,True,False,0.33636363636363636,True,False,False,0.86,0.9247311827956989,False,weak_unstable_effect
EVENT-01,long_reversal,30min,QQQ,"2022,2023,2024",515,515,507,515,-8.219159904443426e-05,-1.67921188319875e-05,-0.0003777375374580354,0.00023971262236283425,0.49506903353057197,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,True,False,0.648,0.8883116883116884,False,weak_unstable_effect
EVENT-01,long_reversal,30min,SPY,"2022,2023,2024",550,550,542,550,-8.123764156791179e-05,2.2259244286337854e-05,-0.000306845616178113,0.00015887879511140962,0.507380073800738,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.33636363636363636,True,True,False,0.504,0.8430769230769232,False,weak_unstable_effect
EVENT-01,long_reversal,5min,QQQ,"2022,2023,2024",515,515,513,515,-3.9401824485444e-05,-2.325741514330737e-05,-0.00017545500672768572,9.087539030979353e-05,0.4873294346978557,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,False,False,0.52,0.8430769230769232,False,weak_unstable_effect
EVENT-01,long_reversal,5min,SPY,"2022,2023,2024",550,550,548,550,-1.5070450814344427e-05,4.7617184472548146e-05,-0.00012868047723441832,7.947438041409587e-05,0.5255474452554745,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.33636363636363636,True,False,False,0.776,0.9176470588235294,False,weak_unstable_effect
EVENT-01,long_reversal,60min,QQQ,"2022,2023,2024",515,515,502,515,-1.917452751201134e-05,0.0002154167009602,-0.00046158205503984035,0.00041980037533345416,0.5139442231075697,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,True,False,0.848,0.9247311827956989,False,weak_unstable_effect
EVENT-01,long_reversal,60min,SPY,"2022,2023,2024",550,550,536,550,-0.00010683633900860265,-0.00010081583893738811,-0.00039181323984593806,0.0001884669328179909,0.47947761194029853,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.33636363636363636,True,True,False,0.432,0.8307692307692308,False,weak_unstable_effect
EVENT-01,long_reversal,session_close,QQQ,"2022,2023,2024",515,515,513,515,-0.00018575725618827328,0.0003350644999162,-0.0011636495379042332,0.0006739361714513829,0.5107212475633528,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,True,False,0.72,0.9113924050632911,False,weak_unstable_effect
EVENT-01,long_reversal,session_close,SPY,"2022,2023,2024",550,550,548,550,-7.370714547670084e-05,9.91553942825917e-05,-0.0008166231007062781,0.0005696324063042229,0.5145985401459854,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.33636363636363636,True,True,False,0.852,0.9247311827956989,False,weak_unstable_effect
EVENT-02,long_reversal,15min,QQQ,"2022,2023,2024",515,515,509,515,0.00010221087760826072,0.0001989009746148,-0.00010341912414829891,0.00033557397892603754,0.5324165029469549,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,False,False,0.28,0.6454545454545454,False,weak_unstable_effect
EVENT-02,long_reversal,15min,SPY,"2022,2023,2024",548,548,543,548,1.077404394299954e-05,0.0001101847430859,-0.00014370038945050429,0.00017338895164606698,0.5174953959484346,not_applicable_non_strategy_no_pnl,not_applicable,True,False,0.3375912408759124,True,False,False,0.892,0.9291666666666667,False,weak_unstable_effect
EVENT-02,long_reversal,30min,QQQ,"2022,2023,2024",515,515,507,515,-7.30047385688544e-05,0.0,-0.00037119537001975436,0.00024733419051439635,0.4970414201183432,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,True,False,0.68,0.8883116883116884,False,weak_unstable_effect
EVENT-02,long_reversal,30min,SPY,"2022,2023,2024",548,548,540,548,-8.81010107892015e-05,2.2259244286337854e-05,-0.00032277630226438555,0.00012730145456930683,0.5074074074074074,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3375912408759124,True,True,False,0.404,0.8078431372549019,False,weak_unstable_effect
EVENT-02,long_reversal,5min,QQQ,"2022,2023,2024",515,515,513,515,-2.9987580650442278e-05,-1.6867957627675345e-05,-0.00016903293492484393,0.0001070444316044401,0.48927875243664715,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,False,False,0.608,0.8883116883116884,False,weak_unstable_effect
EVENT-02,long_reversal,5min,SPY,"2022,2023,2024",548,548,546,548,-2.1552187133709187e-05,4.5405554046751284e-05,-0.00012562353205991766,7.134528369304532e-05,0.521978021978022,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3375912408759124,True,False,False,0.62,0.8883116883116884,False,weak_unstable_effect
EVENT-02,long_reversal,60min,QQQ,"2022,2023,2024",515,515,502,515,-3.1926215831637274e-06,0.00025129759615855,-0.00044510079562080397,0.00043566601588743327,0.5159362549800797,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,True,False,0.928,0.9469387755102042,False,weak_unstable_effect
EVENT-02,long_reversal,60min,SPY,"2022,2023,2024",548,548,534,548,-0.00011453931663407493,-0.00010081583893738811,-0.0004501064656408346,0.00018856698830120504,0.4794007490636704,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3375912408759124,True,True,False,0.472,0.8430769230769232,False,weak_unstable_effect
EVENT-02,long_reversal,session_close,QQQ,"2022,2023,2024",515,515,513,515,-0.00017368496764386975,0.0003350644999162,-0.0011534229228903445,0.0006861373799769369,0.5107212475633528,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34563106796116505,True,True,False,0.736,0.9121951219512194,False,weak_unstable_effect
EVENT-02,long_reversal,session_close,SPY,"2022,2023,2024",548,548,546,548,-6.580656521931093e-05,9.91553942825917e-05,-0.000756901534837045,0.0006534161717137646,0.5146520146520146,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3375912408759124,True,True,False,0.816,0.9247311827956989,False,weak_unstable_effect
EVENT-03,short_reversal,15min,QQQ,"2022,2023,2024",531,531,522,531,-4.13808091515007e-05,-4.57031128103802e-05,-0.0002618088630661293,0.0001728378781937943,0.4789272030651341,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3427495291902072,True,True,False,0.672,0.8883116883116884,False,weak_unstable_effect
EVENT-03,short_reversal,15min,SPY,"2022,2023,2024",576,576,566,576,3.676904900462386e-05,-5.764843640165829e-05,-0.0001125965502848029,0.0001907895365085991,0.4823321554770318,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3454861111111111,True,True,False,0.624,0.8883116883116884,False,weak_unstable_effect
EVENT-03,short_reversal,30min,QQQ,"2022,2023,2024",531,531,520,531,2.8774125118867486e-05,-0.00022588894989025,-0.0002797289299661291,0.0003395166493993242,0.4653846153846154,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3427495291902072,True,False,False,0.892,0.9291666666666667,False,weak_unstable_effect
EVENT-03,short_reversal,30min,SPY,"2022,2023,2024",576,576,560,576,-2.9748949042899203e-05,-0.0001169489335313,-0.0002699112809760718,0.0001913222656495281,0.4642857142857143,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3454861111111111,True,True,False,0.708,0.9076923076923077,False,weak_unstable_effect
EVENT-03,short_reversal,5min,QQQ,"2022,2023,2024",531,531,529,531,-1.8917982961598336e-05,0.0,-0.00014134372909016277,0.0001112763222862762,0.4952741020793951,not_applicable_non_strategy_no_pnl,not_applicable,False,False,0.3427495291902072,True,True,False,0.764,0.9176470588235294,False,weak_unstable_effect
EVENT-03,short_reversal,5min,SPY,"2022,2023,2024",576,576,573,576,3.0033418860027394e-05,2.218179713242563e-07,-6.0834577778872225e-05,0.00011559849379523238,0.5008726003490401,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3454861111111111,True,True,False,0.52,0.8430769230769232,False,weak_unstable_effect
EVENT-03,short_reversal,60min,QQQ,"2022,2023,2024",531,531,513,531,-0.00020562170885641436,-0.0005251084763562,-0.0006596285873817711,0.00021554286720049196,0.4444444444444444,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3427495291902072,True,True,False,0.312,0.6933333333333334,False,weak_unstable_effect
EVENT-03,short_reversal,60min,SPY,"2022,2023,2024",576,576,553,576,-0.00012648638602246633,-0.0002066015264206,-0.0004561353822251399,0.00019034642652379963,0.4701627486437613,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3454861111111111,True,True,False,0.396,0.8078431372549019,False,weak_unstable_effect
EVENT-03,short_reversal,session_close,QQQ,"2022,2023,2024",531,531,529,531,-0.0007785299596330081,-0.0011565684388903,-0.0015705169338886894,4.528863523112154e-05,0.41398865784499056,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3427495291902072,True,True,False,0.064,0.2782608695652174,False,weak_unstable_effect
EVENT-03,short_reversal,session_close,SPY,"2022,2023,2024",576,576,573,576,-0.00041820182548479656,-0.0006244006868407,-0.001026779019971629,0.00021455601551641747,0.4328097731239092,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3454861111111111,True,True,False,0.188,0.48205128205128206,False,weak_unstable_effect
EVENT-04,short_reversal,15min,QQQ,"2022,2023,2024",531,531,522,531,-3.949258311600587e-05,-7.370652745009032e-05,-0.0002595503035317129,0.00017409172963281917,0.47509578544061304,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3427495291902072,True,True,False,0.684,0.8883116883116884,False,weak_unstable_effect
EVENT-04,short_reversal,15min,SPY,"2022,2023,2024",573,573,563,573,2.330816846256189e-05,-8.049657442366076e-05,-0.000130988632832973,0.00017423187950968435,0.477797513321492,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3472949389179756,True,True,False,0.78,0.9176470588235294,False,weak_unstable_effect
EVENT-04,short_reversal,30min,QQQ,"2022,2023,2024",531,531,520,531,2.433097324858171e-05,-0.0002491973658499,-0.000285736783543996,0.0003331289275774457,0.4634615384615385,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3427495291902072,True,False,False,0.908,0.9360824742268041,False,weak_unstable_effect
EVENT-04,short_reversal,30min,SPY,"2022,2023,2024",573,573,557,573,-5.4130786632158885e-05,-0.0001350195778386,-0.00026463086558084877,0.00014178564219293594,0.45960502692998206,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3472949389179756,True,True,False,0.548,0.8430769230769232,False,weak_unstable_effect
EVENT-04,short_reversal,5min,QQQ,"2022,2023,2024",531,531,529,531,-3.282160686814427e-05,0.0,-0.00015910936110066952,0.00010175349625434393,0.4952741020793951,not_applicable_non_strategy_no_pnl,not_applicable,False,False,0.3427495291902072,True,True,False,0.632,0.8883116883116884,False,weak_unstable_effect
EVENT-04,short_reversal,5min,SPY,"2022,2023,2024",573,573,570,573,2.784462035926669e-05,1.1090898566212815e-07,-5.248309214313419e-05,0.00011941215133812243,0.5,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.3472949389179756,True,True,False,0.54,0.8430769230769232,False,weak_unstable_effect
EVENT-04,short_reversal,60min,QQQ,"2022,2023,2024",531,531,513,531,-0.00019942535760306037,-0.0005240479795038,-0.000653746015577613,0.0002195124197253478,0.4444444444444444,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3427495291902072,True,True,False,0.332,0.7063829787234043,False,weak_unstable_effect
EVENT-04,short_reversal,60min,SPY,"2022,2023,2024",573,573,549,573,-0.00014061478119380269,-0.0002066015264206,-0.00042980919126281306,0.00014494044703120253,0.4681238615664845,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3472949389179756,True,True,False,0.328,0.7063829787234043,False,weak_unstable_effect
EVENT-04,short_reversal,session_close,QQQ,"2022,2023,2024",531,531,529,531,-0.0007692424866351888,-0.0011565684388903,-0.0015598844447902167,5.4199263027595466e-05,0.41398865784499056,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3427495291902072,True,True,False,0.064,0.2782608695652174,False,weak_unstable_effect
EVENT-04,short_reversal,session_close,SPY,"2022,2023,2024",573,573,570,573,-0.00045084007901649033,-0.0006497176753914,-0.0010582215207200268,0.00018647642539529834,0.4298245614035088,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.3472949389179756,True,True,False,0.172,0.4526315789473684,False,weak_unstable_effect
EVENT-05,long_reversal,15min,QQQ,"2022,2023,2024",312,312,305,312,-0.00010473688387301708,0.0001291250853145,-0.000385513624420886,0.00015542648966827702,0.5409836065573771,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.34294871794871795,True,True,False,0.524,0.8430769230769232,False,weak_unstable_effect
EVENT-05,long_reversal,15min,SPY,"2022,2023,2024",336,336,329,336,5.663903248006107e-05,0.0002058056802367,-0.00012076207211914374,0.0002363691421749574,0.574468085106383,not_applicable_non_strategy_no_pnl,not_applicable,False,True,0.34226190476190477,True,True,False,0.492,0.8430769230769232,False,weak_unstable_effect
EVENT-05,long_reversal,30min,QQQ,"2022,2023,2024",312,312,302,312,3.05735797572311e-05,0.00010852725597560001,-0.0003015112633775856,0.00036365791050700603,0.5132450331125827,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34294871794871795,True,True,False,0.884,0.9291666666666667,False,weak_unstable_effect
EVENT-05,long_reversal,30min,SPY,"2022,2023,2024",336,336,323,336,0.00020286718899179636,0.0002389812751923,-5.4597371045081744e-05,0.00044944367917907187,0.5758513931888545,not_applicable_non_strategy_no_pnl,not_applicable,True,True,0.34226190476190477,True,True,False,0.116,0.4,False,weak_unstable_effect
