event_type,orientation,horizon,symbol,year,count,mean_return,median_return,bootstrap_lower,bootstrap_upper,economic_threshold,classification
EVENT-07,long_reversal,15min,QQQ,2022,172,-0.0003169569412293,-0.0003079810901001,-0.0007004441390539,0.0001069020812428,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,15min,QQQ,2023,161,-0.0003743218477991,-0.0001809702714382,-0.0006934299339305,-5.834820526033186e-05,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,15min,QQQ,2024,162,-0.0003903922422225,-0.0001732055694886,-0.0006530293477909,-0.00011902410431,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,15min,SPY,2022,170,-0.0004952249289017,-0.0004954588293142,-0.0008035765712997,-0.0001136027011915,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,15min,SPY,2023,170,-0.0001445221420013,-0.0001360898201869,-0.0003587371309274,6.544151742683047e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,15min,SPY,2024,177,-0.0002724159817937,-5.166217430363496e-05,-0.0004466135211863,-0.0001035987897714,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,30min,QQQ,2022,172,-0.0005238899072918,-0.000596222899688,-0.0012190865716089,0.0001393840283654,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,30min,QQQ,2023,161,-0.0004118967804785,-0.0002679636077082,-0.0008109560022236,4.348642676287952e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,30min,QQQ,2024,162,-0.0004152023056034,-0.0001015941665099,-0.0008342980070414,-1.1550094330480524e-05,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,30min,SPY,2022,170,-0.0006147019663022,-0.0002288978025811,-0.0010699983488479,-0.000144232307212,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,30min,SPY,2023,170,-0.0002548880275964,-0.0002055857105964,-0.0006063934823455,3.379511142622782e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,30min,SPY,2024,177,-0.0004131283068043,-8.335194464107007e-05,-0.0007011530433305,-0.0001414194686839,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,5min,QQQ,2022,172,-0.0002908541657761,-0.0003354517535906,-0.0005846414007088,2.195067467613275e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,5min,QQQ,2023,161,-0.0002364048740067,-0.0003056868933444,-0.0004159494418907,-3.0076625193580572e-05,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,5min,QQQ,2024,162,-0.0002312392526933,-7.862759113663742e-05,-0.0004386688597813,-2.21046621247842e-05,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-07,long_reversal,5min,SPY,2022,170,-0.0002010055094863,-0.0003037204954363,-0.0003967535102646,3.454654955263899e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,5min,SPY,2023,170,-0.000126050742678,-9.505667954856634e-05,-0.0002611741852903,1.2432288232929929e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,5min,SPY,2024,177,-0.0001113309006115,-1.7755432107580127e-05,-0.0002318822086498,7.321338072454446e-07,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-07,long_reversal,60min,QQQ,2022,172,-0.0002420956763462,-0.0004993036028696,-0.0011663633973382,0.0006444183347432,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
