event_type,horizon,symbol,orientation,year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-01,15min,QQQ,long_reversal,2022,178,178,176,178,0.00021102476522028273,0.0003606696514861,0.003206785739040925,0.5227272727272727,-0.00021102476522028273,-0.0003606696514861,0.002640967586445721,0.00214395157085965,-0.0025294343303457283,-0.0021719584809590502,-0.00026581716831180965,0.0006832774780751205,session_date,17
EVENT-01,15min,QQQ,long_reversal,2023,169,169,167,169,8.577743711828946e-05,0.0001511578692787,0.002258090055013978,0.5449101796407185,-8.577743711828946e-05,-0.0001511578692787,0.0016969437780186014,0.0012323027630967,-0.0017344201368556349,-0.0014525031470901,-0.0002453302765299372,0.0004117091891367102,session_date,17
EVENT-01,15min,QQQ,long_reversal,2024,168,168,166,168,2.0244827869147235e-06,0.00018753293247605,0.0019953237830357684,0.536144578313253,-2.0244827869147235e-06,-0.00018753293247605,0.0015230367108063111,0.0012783354534916,-0.0017222378484495315,-0.0013337539539663998,-0.000333867699970855,0.0003038955520043847,session_date,17
EVENT-01,15min,SPY,long_reversal,2022,185,185,184,185,-1.3108011929180312e-05,-0.00019391877196900002,0.0025634406975005913,0.4673913043478261,1.3108011929180312e-05,0.00019391877196900002,0.0019212704580925152,0.0015576873767867,-0.0019485413927311458,-0.00168662937030045,-0.00037916593953106936,0.00035258612389329027,session_date,17
EVENT-01,15min,SPY,long_reversal,2023,181,181,178,181,8.795283426081616e-05,0.00015625205977785,0.0015524427639461013,0.5337078651685393,-8.795283426081616e-05,-0.00015625205977785,0.0012325952135655324,0.0009658693147895001,-0.0012292660607513375,-0.0008609801507156499,-0.00011962402966988117,0.0002977556859779833,session_date,17
EVENT-01,15min,SPY,long_reversal,2024,184,184,183,184,-2.3709146906529472e-05,0.0001320415270602,0.0013320619079543166,0.5519125683060109,2.3709146906529472e-05,-0.0001320415270602,0.0009692034416533537,0.0007690764395105,-0.0011096663955588652,-0.000786132620573,-0.00020756417834103018,0.00015010452623034098,session_date,17
EVENT-01,30min,QQQ,long_reversal,2022,178,178,176,178,-6.191640116296513e-05,-9.667163485924635e-05,0.004690841242774136,0.48295454545454547,6.191640116296513e-05,9.667163485924635e-05,0.003693689804892075,0.0029061351997945,-0.003510281573544452,-0.0027502052719727502,-0.0008011549322585271,0.0006358120535740832,session_date,17
EVENT-01,30min,QQQ,long_reversal,2023,169,169,165,169,-4.9915283884315156e-05,2.5801790644264244e-05,0.002997938133118961,0.503030303030303,4.9915283884315156e-05,-2.5801790644264244e-05,0.0023531451952313424,0.0017082867436948,-0.002323425515771494,-0.001886637683537,-0.0005053493642268984,0.0004375893573697066,session_date,17
EVENT-01,30min,QQQ,long_reversal,2024,168,168,166,168,-0.00013577007391526693,1.4823575106903686e-05,0.0029143434189906124,0.5,0.00013577007391526693,-1.4823575106903686e-05,0.002046907416071853,0.0016015170114318002,-0.00240349383168777,-0.0018822613671641,-0.0006141942830111009,0.0002659058962600958,session_date,17
EVENT-01,30min,SPY,long_reversal,2022,185,185,183,185,3.0656539959938076e-05,0.0001995609658749,0.003693201930490557,0.5300546448087432,-3.0656539959938076e-05,-0.0001995609658749,0.002710491206234565,0.0020862049794772,-0.0026330087309329214,-0.0019258545979777,-0.0005305259856648623,0.0005338497681233334,session_date,17
