event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-01,15min,QQQ,long_reversal,2022,0.00021102476522028273,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,QQQ,long_reversal,2023,8.577743711828946e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,QQQ,long_reversal,2024,2.0244827869147235e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,SPY,long_reversal,2022,-1.3108011929180312e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,SPY,long_reversal,2023,8.795283426081616e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,15min,SPY,long_reversal,2024,-2.3709146906529472e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,QQQ,long_reversal,2022,-6.191640116296513e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,QQQ,long_reversal,2023,-4.9915283884315156e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,QQQ,long_reversal,2024,-0.00013577007391526693,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,SPY,long_reversal,2022,3.0656539959938076e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,SPY,long_reversal,2023,-8.949518133593865e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,30min,SPY,long_reversal,2024,-0.00018571594201107533,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,QQQ,long_reversal,2022,-0.00012134425144504572,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,QQQ,long_reversal,2023,3.731791469230913e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,QQQ,long_reversal,2024,-3.0191203821915793e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,SPY,long_reversal,2022,-5.258055858743099e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,SPY,long_reversal,2023,-2.677138893361027e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,5min,SPY,long_reversal,2024,1.0586979099595731e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,60min,QQQ,long_reversal,2022,0.0003269524649544936,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,60min,QQQ,long_reversal,2023,-0.00014117503668054524,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,60min,QQQ,long_reversal,2024,-0.00026649659536859234,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,60min,SPY,long_reversal,2022,0.00013037572182391023,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,60min,SPY,long_reversal,2023,-0.00021890302205680972,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,60min,SPY,long_reversal,2024,-0.000238245504225053,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,session_close,QQQ,long_reversal,2022,-0.0006162026558734228,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,session_close,QQQ,long_reversal,2023,0.0004529259874556563,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,session_close,QQQ,long_reversal,2024,-0.0003758688276346966,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,session_close,SPY,long_reversal,2022,-0.0003721359471899109,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,session_close,SPY,long_reversal,2023,0.0002665332825397767,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-01,session_close,SPY,long_reversal,2024,-0.00010465121231368798,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,15min,QQQ,long_reversal,2022,0.0002145791630022532,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,15min,QQQ,long_reversal,2023,6.89480922122432e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,15min,QQQ,long_reversal,2024,1.653658201664787e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,15min,SPY,long_reversal,2022,-1.3108011929180312e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,15min,SPY,long_reversal,2023,8.735441358465142e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,15min,SPY,long_reversal,2024,-3.95579733432163e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,30min,QQQ,long_reversal,2022,-4.9851307083509447e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,30min,QQQ,long_reversal,2023,-3.097483577919698e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,30min,QQQ,long_reversal,2024,-0.0001393296656876145,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,30min,SPY,long_reversal,2022,3.0656539959938076e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,30min,SPY,long_reversal,2023,-8.442491674456568e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,30min,SPY,long_reversal,2024,-0.0002117453441535575,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,5min,QQQ,long_reversal,2022,-0.00010874769953597282,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,5min,QQQ,long_reversal,2023,4.156085233779847e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,5min,QQQ,long_reversal,2024,-1.8916587430524857e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,5min,SPY,long_reversal,2022,-5.258055858743099e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,5min,SPY,long_reversal,2023,1.4455612856032448e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,5min,SPY,long_reversal,2024,-1.2554102432611198e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,QQQ,long_reversal,2022,0.0003331836560723285,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,QQQ,long_reversal,2023,-9.920248151876936e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,QQQ,long_reversal,2024,-0.00026569111419009106,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,SPY,long_reversal,2022,0.00013037572182391023,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,SPY,long_reversal,2023,-0.00021559513563831786,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,SPY,long_reversal,2024,-0.00026561118402642785,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,QQQ,long_reversal,2022,-0.0006123036480624917,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,QQQ,long_reversal,2023,0.0004760037024246753,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,QQQ,long_reversal,2024,-0.00036627106828751094,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,SPY,long_reversal,2022,-0.0003721359471899109,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,SPY,long_reversal,2023,0.00026565819144872373,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,SPY,long_reversal,2024,-7.853766370209332e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,QQQ,short_reversal,2022,-7.638124146926681e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,QQQ,short_reversal,2023,1.866214693236882e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,QQQ,short_reversal,2024,-6.605514273259482e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,SPY,short_reversal,2022,0.00010394353123746357,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,SPY,short_reversal,2023,4.0122104150576394e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,SPY,short_reversal,2024,-2.8903101347672026e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,QQQ,short_reversal,2022,9.85422093758048e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,QQQ,short_reversal,2023,0.0002030454380927224,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,QQQ,short_reversal,2024,-0.0002103126905198437,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,SPY,short_reversal,2022,-1.53433739333765e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,SPY,short_reversal,2023,9.562900500636453e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,SPY,short_reversal,2024,-0.0001697140084710871,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,QQQ,short_reversal,2022,-0.00013826140332113635,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,QQQ,short_reversal,2023,7.873795795251855e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,QQQ,short_reversal,2024,2.9849549015441715e-07,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,SPY,short_reversal,2022,1.79528581177734e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,SPY,short_reversal,2023,4.522754450168109e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,SPY,short_reversal,2024,2.59544965648071e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,QQQ,short_reversal,2022,7.334097807209963e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,QQQ,short_reversal,2023,-0.0002431836142268924,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,QQQ,short_reversal,2024,-0.0004340378725159629,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,SPY,short_reversal,2022,-9.652729816472972e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,SPY,short_reversal,2023,-2.765259857184607e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,SPY,short_reversal,2024,-0.00025547084472927036,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,QQQ,short_reversal,2022,-0.0005636072154731947,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,QQQ,short_reversal,2023,-0.001237585706621678,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,QQQ,short_reversal,2024,-0.0005362400889087959,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,SPY,short_reversal,2022,-0.0005200441807267836,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,SPY,short_reversal,2023,-0.000582188966697196,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,SPY,short_reversal,2024,-0.00016199317766150712,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,QQQ,short_reversal,2022,-6.432829412016914e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,QQQ,short_reversal,2023,1.4619514575850917e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,QQQ,short_reversal,2024,-6.824767129665642e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,SPY,short_reversal,2022,6.537150533947749e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,SPY,short_reversal,2023,3.1885627708338755e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,SPY,short_reversal,2024,-2.3845511649609033e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,QQQ,short_reversal,2022,8.735166626323288e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,QQQ,short_reversal,2023,0.00019630747580191477,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,QQQ,short_reversal,2024,-0.00020594444406523633,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,SPY,short_reversal,2022,-6.97833455730768e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,SPY,short_reversal,2023,7.527493960829607e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,SPY,short_reversal,2024,-0.00016995463051931926,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,QQQ,short_reversal,2022,-0.00017471953245040627,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,QQQ,short_reversal,2023,6.852245368511741e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,QQQ,short_reversal,2024,4.466095733840525e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
