event_type,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-01,5325,5325,5263,574,-4.864950653208696e-05,4.646516274409152e-05,0.004943623892028699,0.5086452593577807,4.864950653208696e-05,-4.646516274409152e-05,0.0028175511347917973,0.0015283947079332,-0.0029408094264694934,-0.0016954150081084,-0.0003320889532691383,0.00017179612049712654,session_date,17
EVENT-02,5315,5315,5253,573,-4.600435806091753e-05,4.652569381446981e-05,0.004950130478598366,0.5086617171140301,4.600435806091753e-05,-4.652569381446981e-05,0.002820512311751242,0.0015283947079332,-0.002941768700261818,-0.001703021958113,-0.00033162746693729447,0.00019152921926248026,session_date,17
EVENT-03,5535,5535,5438,598,-0.0001511930367386875,-0.0001435946458899,0.004751542677973119,0.4650606840750276,0.0001511930367386875,0.0001435946458899,0.0027414034403519722,0.0014294196556197,0.0026147906512999585,0.0014266627414569,-0.0003969171292031072,0.00011652642695731346,session_date,17
EVENT-04,5520,5520,5422,596,-0.00016043773733504814,-0.00014892582887945,0.004750628342069517,0.4629288085577278,0.00016043773733504814,0.00014892582887945,0.002733593532778848,0.0014212096798208,0.002621099175245282,0.0014325440626450502,-0.00039259993443001024,9.248624087413353e-05,session_date,17
EVENT-05,3240,3240,3146,414,0.00017196534918045026,0.0001254718418797,0.0042361744856194965,0.5336935791481247,-0.00017196534918045026,-0.0001254718418797,0.002457748079731784,0.00129754068515725,-0.00235650786625369,-0.001241534560803,-6.56268253993365e-05,0.0004380680834036012,session_date,17
EVENT-06,3190,3190,3119,408,-7.250160716132496e-05,-0.0001457728633107,0.004126129282970677,0.46585444052580954,7.250160716132496e-05,0.0001457728633107,0.002542056710800493,0.0014723754323642,0.002285634813863378,0.0012275779136186,-0.00033604887565143697,0.00015570577227413208,session_date,17
EVENT-07,5060,5060,4989,552,-0.0004094254039096922,-0.000181272533183,0.004811043282093423,0.45941070354780517,0.0004094254039096922,0.000181272533183,0.002518188772570969,0.0013201193847096,-0.003124054210428065,-0.001870239390642,-0.0006609068103053604,-0.00016600539688183541,session_date,17
EVENT-08,5345,5345,5244,583,-0.000432452869151716,-0.0003055049847827,0.004618506023128534,0.4233409610983982,0.000432452869151716,0.0003055049847827,0.002444213248735896,0.0012267193604071,0.002728706512195572,0.0015671718733889,-0.000677139951126822,-0.00018289129009541548,session_date,17
EVENT-09,2030,2030,2022,291,0.0002224989944947717,0.000175606222117,0.00466433488159954,0.5450049455984174,-0.0002224989944947717,-0.000175606222117,0.002690641042270125,0.0014876441003397,-0.0026630710404898896,-0.0013531137325519002,-0.00011940928052960506,0.0005837861983361022,session_date,17
EVENT-10,1930,1930,1916,280,6.89878529984491e-05,0.0,0.004985056989430982,0.49739039665970775,-6.89878529984491e-05,0.0,0.002896152196550351,0.0015029118917904,0.002593908373983528,0.0014016667580457,-0.00033039207460223356,0.0004218774182101047,session_date,17
