hypothesis_id,symbol,session_date,sweep_timestamp,confirmation_timestamp,executable_timestamp,swept_side,direction_orientation,confirmation_bar_count,reason_for_exclusion,opening_high,opening_low,executable_price_reference
HYP-OR-CONT-EVENT-01,QQQ,2022-01-03,2022-01-03T19:40:00+00:00,2022-01-03T20:00:00+00:00,2022-01-03T20:00:00+00:00,high,continuation_long,3,,401.53,396.88,401.3665
HYP-OR-CONT-EVENT-01,QQQ,2022-01-04,2022-01-04T15:00:00+00:00,2022-01-04T15:20:00+00:00,2022-01-04T15:20:00+00:00,low,continuation_short,3,,402.29,400.65,398.92
HYP-OR-CONT-EVENT-01,QQQ,2022-01-05,2022-01-05T17:30:00+00:00,2022-01-05T17:50:00+00:00,2022-01-05T17:50:00+00:00,low,continuation_short,3,,395.37,392.36,391.47
HYP-OR-CONT-EVENT-01,QQQ,2022-01-06,2022-01-06T15:00:00+00:00,2022-01-06T15:20:00+00:00,2022-01-06T15:20:00+00:00,low,continuation_short,3,,386.26,381.94,382.19
HYP-OR-CONT-EVENT-01,QQQ,2022-01-07,2022-01-07T15:35:00+00:00,2022-01-07T15:55:00+00:00,2022-01-07T15:55:00+00:00,low,continuation_short,3,,385.76,381.1,378.65
HYP-OR-CONT-EVENT-01,QQQ,2022-01-10,2022-01-10T15:00:00+00:00,2022-01-10T15:20:00+00:00,2022-01-10T15:20:00+00:00,low,continuation_short,3,,375.71,371.47,370.43
HYP-OR-CONT-EVENT-01,QQQ,2022-01-11,2022-01-11T15:00:00+00:00,2022-01-11T15:20:00+00:00,2022-01-11T15:20:00+00:00,high,continuation_long,3,,380.0598,377.2182,380.57
HYP-OR-CONT-EVENT-01,QQQ,2022-01-12,2022-01-12T15:05:00+00:00,2022-01-12T15:25:00+00:00,2022-01-12T15:25:00+00:00,high,continuation_long,3,,389.75,387.14,389.58
HYP-OR-CONT-EVENT-01,QQQ,2022-01-13,2022-01-13T15:00:00+00:00,2022-01-13T15:20:00+00:00,2022-01-13T15:20:00+00:00,low,continuation_short,3,,389.47,387.88,386.24
HYP-OR-CONT-EVENT-01,QQQ,2022-01-14,2022-01-14T20:35:00+00:00,2022-01-14T20:55:00+00:00,2022-01-14T20:55:00+00:00,high,continuation_long,3,,380.08,374.86,380.09
HYP-OR-CONT-EVENT-01,QQQ,2022-01-18,2022-01-18T15:05:00+00:00,2022-01-18T15:25:00+00:00,2022-01-18T15:25:00+00:00,high,continuation_long,3,,374.78,372.31,375.59
HYP-OR-CONT-EVENT-01,QQQ,2022-01-19,2022-01-19T15:00:00+00:00,2022-01-19T15:20:00+00:00,2022-01-19T15:20:00+00:00,high,continuation_long,3,,374.609,371.75,373.55
HYP-OR-CONT-EVENT-01,QQQ,2022-01-20,2022-01-20T15:00:00+00:00,2022-01-20T15:20:00+00:00,2022-01-20T15:20:00+00:00,high,continuation_long,3,,372.55,369.53,370.97
HYP-OR-CONT-EVENT-01,QQQ,2022-01-21,2022-01-21T15:00:00+00:00,2022-01-21T15:20:00+00:00,2022-01-21T15:20:00+00:00,low,continuation_short,3,,361.24,356.66,355.48
HYP-OR-CONT-EVENT-01,QQQ,2022-01-24,2022-01-24T15:05:00+00:00,2022-01-24T15:25:00+00:00,2022-01-24T15:25:00+00:00,low,continuation_short,3,,347.66,342.53,343.39
HYP-OR-CONT-EVENT-01,QQQ,2022-01-25,2022-01-25T16:35:00+00:00,2022-01-25T16:55:00+00:00,2022-01-25T16:55:00+00:00,low,continuation_short,3,,348.73,342.85,343.75
HYP-OR-CONT-EVENT-01,QQQ,2022-01-26,2022-01-26T15:40:00+00:00,2022-01-26T16:00:00+00:00,2022-01-26T16:00:00+00:00,low,continuation_short,3,,353.47,349.8501,350.8
HYP-OR-CONT-EVENT-01,QQQ,2022-01-27,2022-01-27T15:05:00+00:00,2022-01-27T15:25:00+00:00,2022-01-27T15:25:00+00:00,high,continuation_long,3,,350.94,346.96,349.11
HYP-OR-CONT-EVENT-01,QQQ,2022-01-28,2022-01-28T15:50:00+00:00,2022-01-28T16:10:00+00:00,2022-01-28T16:10:00+00:00,high,continuation_long,3,,343.84,338.08,344.88
HYP-OR-CONT-EVENT-01,QQQ,2022-01-31,2022-01-31T15:00:00+00:00,2022-01-31T15:20:00+00:00,2022-01-31T15:20:00+00:00,high,continuation_long,3,,356.83,351.52,357.74
HYP-OR-CONT-EVENT-01,QQQ,2022-02-01,2022-02-01T15:00:00+00:00,2022-02-01T15:20:00+00:00,2022-02-01T15:20:00+00:00,low,continuation_short,3,,364.63,360.53,360.37
HYP-OR-CONT-EVENT-01,QQQ,2022-02-02,2022-02-02T15:35:00+00:00,2022-02-02T15:55:00+00:00,2022-02-02T15:55:00+00:00,low,continuation_short,3,,370.1,366.37,366.8601
HYP-OR-CONT-EVENT-01,QQQ,2022-02-03,2022-02-03T15:15:00+00:00,2022-02-03T15:35:00+00:00,2022-02-03T15:35:00+00:00,high,continuation_long,3,,360.86,357.89,360.71
HYP-OR-CONT-EVENT-01,QQQ,2022-02-04,2022-02-04T15:00:00+00:00,2022-02-04T15:20:00+00:00,2022-02-04T15:20:00+00:00,high,continuation_long,3,,356.19,351.97,357.09
HYP-OR-CONT-EVENT-01,QQQ,2022-02-07,2022-02-07T16:05:00+00:00,2022-02-07T16:25:00+00:00,2022-02-07T16:25:00+00:00,low,continuation_short,3,,361.05,357.74,357.47
HYP-OR-CONT-EVENT-01,QQQ,2022-02-08,2022-02-08T15:00:00+00:00,2022-02-08T15:20:00+00:00,2022-02-08T15:20:00+00:00,low,continuation_short,3,,355.72,353.59,354.515
HYP-OR-CONT-EVENT-01,QQQ,2022-02-09,2022-02-09T16:00:00+00:00,2022-02-09T16:20:00+00:00,2022-02-09T16:20:00+00:00,high,continuation_long,3,,364.54,362.42,364.2
HYP-OR-CONT-EVENT-01,QQQ,2022-02-10,2022-02-10T15:00:00+00:00,2022-02-10T15:20:00+00:00,2022-02-10T15:20:00+00:00,high,continuation_long,3,,364.15,359.32,363.92
HYP-OR-CONT-EVENT-01,QQQ,2022-02-11,2022-02-11T15:10:00+00:00,2022-02-11T15:30:00+00:00,2022-02-11T15:30:00+00:00,low,continuation_short,3,,360.07,356.62,357.15
HYP-OR-CONT-EVENT-01,QQQ,2022-02-14,2022-02-14T16:15:00+00:00,2022-02-14T16:35:00+00:00,2022-02-14T16:35:00+00:00,high,continuation_long,3,,349.55,345.81,349.97
HYP-OR-CONT-EVENT-01,QQQ,2022-02-15,2022-02-15T15:40:00+00:00,2022-02-15T16:00:00+00:00,2022-02-15T16:00:00+00:00,high,continuation_long,3,,354.07,352.22,354.11
HYP-OR-CONT-EVENT-01,QQQ,2022-02-16,2022-02-16T19:20:00+00:00,2022-02-16T19:40:00+00:00,2022-02-16T19:40:00+00:00,high,continuation_long,3,,353.95,350.71,355.2599
HYP-OR-CONT-EVENT-01,QQQ,2022-02-17,2022-02-17T15:15:00+00:00,2022-02-17T15:35:00+00:00,2022-02-17T15:35:00+00:00,low,continuation_short,3,,353.46,350.54,349.98
HYP-OR-CONT-EVENT-01,QQQ,2022-02-18,2022-02-18T15:25:00+00:00,2022-02-18T15:45:00+00:00,2022-02-18T15:45:00+00:00,low,continuation_short,3,,346.81,343.57,343.09
HYP-OR-CONT-EVENT-01,QQQ,2022-02-22,2022-02-22T17:10:00+00:00,2022-02-22T17:30:00+00:00,2022-02-22T17:30:00+00:00,low,continuation_short,3,,343.73,338.04,337.84
HYP-OR-CONT-EVENT-01,QQQ,2022-02-23,2022-02-23T15:00:00+00:00,2022-02-23T15:20:00+00:00,2022-02-23T15:20:00+00:00,low,continuation_short,3,,342.183,338.78,337.6
HYP-OR-CONT-EVENT-01,QQQ,2022-02-24,2022-02-24T15:10:00+00:00,2022-02-24T15:30:00+00:00,2022-02-24T15:30:00+00:00,high,continuation_long,3,,325.97,318.26,326.04
HYP-OR-CONT-EVENT-01,QQQ,2022-02-25,2022-02-25T15:30:00+00:00,2022-02-25T15:50:00+00:00,2022-02-25T15:50:00+00:00,high,continuation_long,3,,341.81,338.05,343.24
HYP-OR-CONT-EVENT-01,QQQ,2022-02-28,2022-02-28T15:35:00+00:00,2022-02-28T15:55:00+00:00,2022-02-28T15:55:00+00:00,high,continuation_long,3,,345.03,342.15,346.34
HYP-OR-CONT-EVENT-01,QQQ,2022-03-01,2022-03-01T15:00:00+00:00,2022-03-01T15:20:00+00:00,2022-03-01T15:20:00+00:00,high,continuation_long,3,,347.635,345.18,347.09
HYP-OR-CONT-EVENT-01,QQQ,2022-03-02,2022-03-02T15:05:00+00:00,2022-03-02T15:25:00+00:00,2022-03-02T15:25:00+00:00,low,continuation_short,3,,344.62,341.725,341.13
HYP-OR-CONT-EVENT-01,QQQ,2022-03-03,2022-03-03T15:05:00+00:00,2022-03-03T15:25:00+00:00,2022-03-03T15:25:00+00:00,low,continuation_short,3,,350.04,347.14,344.9
HYP-OR-CONT-EVENT-01,QQQ,2022-03-04,2022-03-04T15:10:00+00:00,2022-03-04T15:30:00+00:00,2022-03-04T15:30:00+00:00,low,continuation_short,3,,341.31,337.35,337.25
HYP-OR-CONT-EVENT-01,QQQ,2022-03-07,2022-03-07T15:00:00+00:00,2022-03-07T15:20:00+00:00,2022-03-07T15:20:00+00:00,low,continuation_short,3,,338.48,333.42,331.88
HYP-OR-CONT-EVENT-01,QQQ,2022-03-08,2022-03-08T15:00:00+00:00,2022-03-08T15:20:00+00:00,2022-03-08T15:20:00+00:00,low,continuation_short,3,,326.13,322.46,323.65
HYP-OR-CONT-EVENT-01,QQQ,2022-03-09,2022-03-09T15:00:00+00:00,2022-03-09T15:20:00+00:00,2022-03-09T15:20:00+00:00,high,continuation_long,3,,332.1399,329.09,332.06
HYP-OR-CONT-EVENT-01,QQQ,2022-03-10,2022-03-10T15:15:00+00:00,2022-03-10T15:35:00+00:00,2022-03-10T15:35:00+00:00,high,continuation_long,3,,331.51,328.92,328.6
HYP-OR-CONT-EVENT-01,QQQ,2022-03-11,2022-03-11T15:00:00+00:00,2022-03-11T15:20:00+00:00,2022-03-11T15:20:00+00:00,low,continuation_short,3,,334.64,330.99,329.83
HYP-OR-CONT-EVENT-01,QQQ,2022-03-14,2022-03-14T14:05:00+00:00,2022-03-14T14:25:00+00:00,2022-03-14T14:25:00+00:00,high,continuation_long,3,,325.32,322.02,326.1465
HYP-OR-CONT-EVENT-01,QQQ,2022-03-15,2022-03-15T14:00:00+00:00,2022-03-15T14:20:00+00:00,2022-03-15T14:20:00+00:00,high,continuation_long,3,,322.17,319.23,322.04
HYP-OR-CONT-EVENT-01,QQQ,2022-03-16,2022-03-16T14:00:00+00:00,2022-03-16T14:20:00+00:00,2022-03-16T14:20:00+00:00,high,continuation_long,3,,335.27,332.01,336.87
HYP-OR-CONT-EVENT-01,QQQ,2022-03-17,2022-03-17T16:45:00+00:00,2022-03-17T17:05:00+00:00,2022-03-17T17:05:00+00:00,high,continuation_long,3,,341.045,337.0406,341.04
HYP-OR-CONT-EVENT-01,QQQ,2022-03-18,2022-03-18T14:00:00+00:00,2022-03-18T14:20:00+00:00,2022-03-18T14:20:00+00:00,high,continuation_long,3,,345.24,341.55,346.56
HYP-OR-CONT-EVENT-01,QQQ,2022-03-21,2022-03-21T14:00:00+00:00,2022-03-21T14:20:00+00:00,2022-03-21T14:20:00+00:00,low,continuation_short,3,,352.48,348.21,347.5812
HYP-OR-CONT-EVENT-01,QQQ,2022-03-22,2022-03-22T14:00:00+00:00,2022-03-22T14:20:00+00:00,2022-03-22T14:20:00+00:00,high,continuation_long,3,,352.97,350.2,354.91
HYP-OR-CONT-EVENT-01,QQQ,2022-03-23,2022-03-23T14:10:00+00:00,2022-03-23T14:30:00+00:00,2022-03-23T14:30:00+00:00,high,continuation_long,3,,354.34,352.26,355.06
HYP-OR-CONT-EVENT-01,QQQ,2022-03-24,2022-03-24T14:05:00+00:00,2022-03-24T14:25:00+00:00,2022-03-24T14:25:00+00:00,high,continuation_long,3,,354.47,352.51,352.22
HYP-OR-CONT-EVENT-01,QQQ,2022-03-25,2022-03-25T14:00:00+00:00,2022-03-25T14:20:00+00:00,2022-03-25T14:20:00+00:00,low,continuation_short,3,,360.18,358.2607,358.625
HYP-OR-CONT-EVENT-01,QQQ,2022-03-28,2022-03-28T15:35:00+00:00,2022-03-28T15:55:00+00:00,2022-03-28T15:55:00+00:00,low,continuation_short,3,,363.19,359.26,359.05
HYP-OR-CONT-EVENT-01,QQQ,2022-03-29,2022-03-29T14:05:00+00:00,2022-03-29T14:25:00+00:00,2022-03-29T14:25:00+00:00,low,continuation_short,3,,370.72,367.86,366.84
HYP-OR-CONT-EVENT-01,QQQ,2022-03-30,2022-03-30T14:10:00+00:00,2022-03-30T14:30:00+00:00,2022-03-30T14:30:00+00:00,high,continuation_long,3,,370.3698,368.71,370.55
HYP-OR-CONT-EVENT-01,QQQ,2022-03-31,2022-03-31T14:55:00+00:00,2022-03-31T15:15:00+00:00,2022-03-31T15:15:00+00:00,high,continuation_long,3,,367.46,364.79,366.48
