symbol,direction_orientation,horizon,count,session_count,mean,median,directional_win_rate,mean_mfe,mean_mae,mean_unconditional_return,mean_incremental_return,mean_baseline_cost_return,mean_stress_cost_return,bootstrap_ci_low,bootstrap_ci_high,bootstrap_grouped_by,bootstrap_seed
QQQ,continuation_long,15min,387,387,-0.00010572206042599742,0.00010516131746096669,0.5219638242894057,0.0017894912899918685,-0.0020978827834024333,-8.012450222643222e-06,-9.77096102033542e-05,0.00025533944177324157,0.0005106788835464831,-0.000381548091595964,0.00015644802728861291,session_date,17
QQQ,continuation_long,30min,387,387,-8.71629025463603e-05,0.0002360724757537458,0.537467700258398,0.0023410805009542648,-0.002719897096768628,-4.367874904206738e-06,-8.279502764215362e-05,0.00025533944177324157,0.0005106788835464831,-0.00045338466135328185,0.0002623231842357639,session_date,17
QQQ,continuation_long,60min,386,386,0.00015214912000604405,0.00048473388832570574,0.5621761658031088,0.0032162266058594143,-0.0034298096271195696,7.474077841566474e-05,7.740834159037917e-05,0.0002553537155367694,0.0005107074310735388,-0.00031165998934264686,0.0006420140309657965,session_date,17
QQQ,continuation_long,session_close,387,387,0.0008315283759942433,0.001520569932137672,0.5943152454780362,0.006400122663959461,-0.006517537104001793,0.4144141207955554,-0.4135825924195612,0.00025533944177324157,0.0005106788835464831,-0.00022654072104896807,0.0017763943786014255,session_date,17
QQQ,continuation_short,15min,359,359,0.00011113994568951814,6.976259891711134e-05,0.5069637883008357,0.0023133159389847192,0.0021323538417277453,1.020425725614064e-05,0.00010093568843337749,0.0002558541471640313,0.0005117082943280626,-0.00023370876611869873,0.00042737935335921805,session_date,17
QQQ,continuation_short,30min,359,359,0.0002074427984964608,0.0,0.4986072423398329,0.003010058769717707,0.002741889669019316,9.284183159860544e-06,0.00019815861533660026,0.0002558541471640313,0.0005117082943280626,-0.00020419060051970393,0.00061847319697166,session_date,17
QQQ,continuation_short,60min,358,358,9.998177331656076e-05,9.409818117145363e-06,0.5083798882681564,0.0038277172375824446,0.0034784260048990627,-6.7561141256453e-05,0.00016754291457301388,0.00025588056306872803,0.0005117611261374561,-0.00041018265084656814,0.0006232564582200045,session_date,17
QQQ,continuation_short,session_close,359,359,0.00047145883343103925,4.223597237762444e-05,0.5013927576601671,0.007564087475993141,0.006835295479812657,-0.42743337781222324,0.42790483664565426,0.0002558541471640313,0.0005117082943280626,-0.0006625609379523539,0.0014871159660906118,session_date,17
SPY,continuation_long,15min,388,388,8.845799571923413e-05,9.348462249780809e-05,0.5154639175257731,0.0014120536361527526,-0.0014062695407351892,-8.461734650963451e-07,8.930416918433046e-05,0.0002442942763016002,0.0004885885526032004,-8.662156278525058e-05,0.0002863063068422207,session_date,17
SPY,continuation_long,30min,388,388,7.599512776921011e-05,0.00014747255658786873,0.538659793814433,0.001785475348063924,-0.0018446129873543925,1.0221858228421066e-06,7.497294194636807e-05,0.0002442942763016002,0.0004885885526032004,-0.00016384287870488358,0.0003230184279505426,session_date,17
SPY,continuation_long,60min,388,388,9.930363302956795e-05,0.00027599605748618306,0.5567010309278351,0.0023869649775013096,-0.0024149209910123643,4.491444960071408e-05,5.438918342885387e-05,0.0002442942763016002,0.0004885885526032004,-0.00022647771795042683,0.0004440851453484783,session_date,17
SPY,continuation_long,session_close,389,389,0.0005420530700528843,0.000858104688771899,0.5784061696658098,0.004892508412723232,-0.0049883825872850925,0.2943261930609241,-0.2937841399908713,0.00024427952800764235,0.0004885590560152847,-0.00010112154271905261,0.0012747748034175103,session_date,17
SPY,continuation_short,15min,358,358,0.0001299577974696182,0.00011844031743335481,0.5391061452513967,0.0016177743198007599,0.0014452682210287526,3.9488378658790685e-07,0.00012956291368303033,0.00024443820145478545,0.0004888764029095709,-9.839974222214544e-05,0.00035022706023669003,session_date,17
SPY,continuation_short,30min,358,358,0.0002366138326875608,0.0003243224426989766,0.5502793296089385,0.002133085154020369,0.0018312665657230223,-1.4461973677318825e-06,0.00023806003005529257,0.00024443820145478545,0.0004888764029095709,-6.144518125462781e-05,0.0005211226208632426,session_date,17
SPY,continuation_short,60min,358,358,0.00010978744919647014,9.129856904582789e-05,0.5111731843575419,0.0026837950004124198,0.0023805649712154093,-4.636671031415999e-05,0.00015615415951063003,0.00024443820145478545,0.0004888764029095709,-0.0002942645154772717,0.0004991932301616089,session_date,17
SPY,continuation_short,session_close,358,358,0.0003577138555310616,0.0001741402494504496,0.5111731843575419,0.005956724638355762,0.005207891985207734,-0.30569957658866803,0.30605729044419916,0.00024443820145478545,0.0004888764029095709,-0.0004817237199458307,0.0011920574447455484,session_date,17
