source_symbol,normalized_symbol,trade_num,direction,entry_time_unix_ms,entry_time_utc,entry_time_ny,entry_price,exit_time_unix_ms,exit_time_utc,exit_time_ny,exit_price,qty,profit,commission,entry_id,exit_id,entry_comment,exit_comment
BATS:QQQ,QQQ,0,short,1776089700000,2026-04-13T14:15:00+00:00,2026-04-13T10:15:00-04:00,610.77,1776091200000,2026-04-13T14:40:00+00:00,2026-04-13T10:40:00-04:00,611.89,1.0,-1.242,0.122,Short,Short TP-SL,First Candle Short,TP o SL
BATS:QQQ,QQQ,1,short,1776363000000,2026-04-16T18:10:00+00:00,2026-04-16T14:10:00-04:00,638.71,1776366000000,2026-04-16T19:00:00+00:00,2026-04-16T15:00:00-04:00,639.77,1.0,-1.188,0.128,Short,Short TP-SL,First Candle Short,TP o SL
BATS:QQQ,QQQ,2,long,1776711000000,2026-04-20T18:50:00+00:00,2026-04-20T14:50:00-04:00,646.78,1776714600000,2026-04-20T19:50:00+00:00,2026-04-20T15:50:00-04:00,645.98,1.0,-0.929,0.129,Long,Long TP-SL,First Candle Long,TP o SL
BATS:QQQ,QQQ,3,short,1776782700000,2026-04-21T14:45:00+00:00,2026-04-21T10:45:00-04:00,648.04,1776783600000,2026-04-21T15:00:00+00:00,2026-04-21T11:00:00-04:00,645.61,1.0,2.301,0.129,Short,Short TP-SL,First Candle Short,TP o SL
BATS:QQQ,QQQ,4,short,1776959400000,2026-04-23T15:50:00+00:00,2026-04-23T11:50:00-04:00,654.7,1776964200000,2026-04-23T17:10:00+00:00,2026-04-23T13:10:00-04:00,651.71,1.0,2.859,0.131,Short,Short TP-SL,First Candle Short,TP o SL
BATS:QQQ,QQQ,5,short,1777041000000,2026-04-24T14:30:00+00:00,2026-04-24T10:30:00-04:00,658.07,1777041300000,2026-04-24T14:35:00+00:00,2026-04-24T10:35:00-04:00,659.27,1.0,-1.332,0.132,Short,Short TP-SL,First Candle Short,TP o SL
BATS:QQQ,QQQ,6,short,1777315500000,2026-04-27T18:45:00+00:00,2026-04-27T14:45:00-04:00,663.31,1777317300000,2026-04-27T19:15:00+00:00,2026-04-27T15:15:00-04:00,663.74,1.0,-0.563,0.133,Short,Short TP-SL,First Candle Short,TP o SL
BATS:QQQ,QQQ,7,long,1777388400000,2026-04-28T15:00:00+00:00,2026-04-28T11:00:00-04:00,655.52,1777390200000,2026-04-28T15:30:00+00:00,2026-04-28T11:30:00-04:00,654.08,1.0,-1.571,0.131,Long,Long TP-SL,First Candle Long,TP o SL
BATS:QQQ,QQQ,8,short,1777479600000,2026-04-29T16:20:00+00:00,2026-04-29T12:20:00-04:00,658.92,1777480200000,2026-04-29T16:30:00+00:00,2026-04-29T12:30:00-04:00,657.33,1.0,1.458,0.132,Short,Short TP-SL,First Candle Short,TP o SL
BATS:QQQ,QQQ,9,long,1777560300000,2026-04-30T14:45:00+00:00,2026-04-30T10:45:00-04:00,660.43,1777570200000,2026-04-30T17:30:00+00:00,2026-04-30T13:30:00-04:00,665.62,1.0,5.057,0.133,Long,Long TP-SL,First Candle Long,TP o SL
